title,artist,topGenre,year,addedSpotify,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
17,Pink Sweat$,alternative r&b,2020,2020‑07‑14,129,36,56,-9,11,25,161,17,5,73
LIKE I WANT YOU,Giveon,alternative r&b,2020,2020‑07‑14,120,36,64,-8,11,44,261,76,7,70
Forfeit. (ft. Lucky Daye),Kiana Ledé,alternative r&b,2020,2020‑07‑14,132,44,77,-8,10,39,242,49,16,68
DYING 4 YOUR LOVE,Snoh Aalegra,alternative r&b,2020,2020‑07‑14,76,41,73,-8,8,58,207,28,17,66
Second Chances. (ft. 6LACK),Kiana Ledé,alternative r&b,2020,2020‑07‑14,73,35,50,-11,11,32,192,79,39,66
More Than Enough,Alina Baraz,alternative r&b,2020,2020‑07‑14,143,53,65,-6,12,25,151,26,3,65
Waiting For (feat. Jamila Woods),rum.gold,alternative r&b,2020,2020‑07‑14,122,38,74,-12,8,60,200,20,8,65
'Flawless' Do It Well Pt. 3 (feat. Summer Walker),dvsn,alternative r&b,2020,2020‑07‑14,141,42,61,-9,13,64,231,22,6,65
FAVORITE MISTAKE,Giveon,alternative r&b,2020,2020‑07‑14,170,41,54,-10,13,14,173,78,9,65
Think About You - Notion Mix,Tiana Major9,alternative r&b,2020,2020‑07‑14,87,62,77,-6,8,51,195,1,9,63
Dive,Victoria Monét,alternative r&b,2020,2020‑07‑14,130,58,74,-6,15,54,226,28,3,63
A Muse,dvsn,alternative r&b,2020,2020‑07‑14,134,39,77,-7,8,42,222,65,17,63
Mother,UMI,alternative r&b,2020,2020‑07‑14,169,45,37,-12,6,12,189,82,20,61
Stickin' (feat. Masego & VanJess),Sinead Harnett,alternative r&b,2020,2020‑07‑14,83,45,67,-8,11,63,189,7,31,60
Excited,Ant Clemons,alternative r&b,2019,2020‑07‑14,90,65,47,-7,11,42,170,14,39,59
Ginny,Sylo Nozra,alternative r&b,2020,2020‑07‑14,90,48,78,-9,20,78,196,41,30,58
"Show You (Remix) [feat. Q] [from Insecure: Music From The HBO Original Series, Season 4]",Baby Rose,alternative r&b,2020,2020‑07‑14,88,57,50,-6,10,29,256,9,4,57
Chasing Amy,TeaMarrr,alternative r&b,2020,2020‑07‑14,110,56,72,-7,10,37,249,23,54,57
Don't Wanna Leave (feat. Mulatto),Jacob Latimore,alternative r&b,2019,2020‑07‑14,76,61,51,-7,11,17,186,0,9,57
Gone,Alex Isley,alternative r&b,2020,2020‑07‑14,80,25,45,-11,11,10,229,96,5,57
Plan B,Ro James,alternative r&b,2020,2020‑07‑14,101,49,60,-7,35,36,183,49,5,56
Last Time,Ro James,alternative r&b,2019,2020‑07‑14,135,57,73,-6,23,32,272,6,8,56
God Is A Genius,Kevin Ross,alternative r&b,2020,2020‑07‑14,87,88,55,-4,18,54,203,9,6,54
"Real Love, Pt. 2",Jacob Latimore,alternative r&b,2020,2020‑07‑14,77,45,67,-6,12,19,218,22,4,53
This Woman's Work,Zacari,gqom,2020,2020‑07‑14,110,60,72,-6,37,56,230,30,4,53
