title,artist,topGenre,year,addedSpotify,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Higher Love,Kygo,edm,2019,2020‑06‑25,104,68,69,-7,10,40,228,2,3,84
Alane,Robin Schulz,dance pop,2020,2020‑06‑25,124,80,58,-7,11,66,175,4,16,82
Higher Ground (feat. John Martin),Martin Garrix,big room,2020,2020‑06‑25,128,62,44,-5,9,38,206,8,3,78
Runaway (U & I),Galantis,big room,2015,2020‑06‑25,126,81,51,-4,9,38,227,1,5,74
Bones (feat. OneRepublic),Galantis,big room,2019,2020‑06‑25,120,80,66,-6,18,51,206,0,4,72
Chemicals,SG Lewis,alternative r&b,2020,2020‑06‑25,114,85,62,-5,32,80,255,12,37,70
One Touch,Jess Glynne,dance pop,2018,2020‑06‑25,124,69,69,-6,14,70,198,33,13,69
I Found You,Cash Cash,big room,2020,2020‑06‑25,130,76,65,-3,22,47,167,7,4,69
Mr. Saxobeat,Klaas,edm,2020,2020‑06‑25,127,89,64,-5,24,51,151,5,13,69
Roots,Valerie Broussard,big room,2019,2020‑06‑25,123,79,68,-5,18,58,185,6,4,68
Free (with Drew Love),Louis The Child,edm,2019,2020‑06‑25,125,56,65,-7,14,17,222,1,4,67
Word Hold on (Children of the Sky) [Radio Edit],Bob Sinclar,dance pop,2006,2020‑06‑25,127,93,74,-2,6,62,204,7,10,67
Lucky,PNAU,alternative dance,2020,2020‑06‑25,120,96,59,-4,21,59,206,3,6,65
All Night Long,Jonas Blue,dance pop,2019,2020‑06‑25,126,81,57,-5,12,33,207,1,7,65
Solid Gold,PNAU,alternative dance,2019,2020‑06‑25,105,95,57,-2,8,30,208,10,5,64
The Same Way,Don Diablo,big room,2019,2020‑06‑25,124,71,62,-3,15,36,185,14,4,63
Soul Sacrifice,Dombresky,bass house,2019,2020‑06‑25,126,93,85,-5,8,86,232,1,4,63
Every Color (with Foster The People),Louis The Child,edm,2020,2020‑06‑25,125,75,77,-5,34,33,235,2,6,63
Simple Hit,Dombresky,bass house,2019,2020‑06‑25,124,95,63,-6,17,70,220,11,4,62
Love on Me,Galantis,big room,2017,2020‑06‑25,124,91,49,-2,14,65,205,11,10,61
Back To Life,DubVision,big room,2019,2020‑06‑25,127,86,55,-4,12,31,201,0,9,61
