title,artist,topGenre,year,addedSpotify,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Blinding Lights,The Weeknd,canadian contemporary r&b,2020,2020‑07‑17,171,73,51,-6,9,33,200,0,6,99
Savage Love (Laxed - Siren Beat),Jawsh 685,dance pop,2020,2020‑07‑17,150,48,77,-9,27,76,171,23,8,95
Rain On Me (with Ariana Grande),Lady Gaga,dance pop,2020,2020‑07‑17,123,86,67,-4,32,65,182,2,4,93
Supalonely,BENEE,nz pop,2019,2020‑07‑17,129,63,86,-5,12,82,223,31,5,93
Sunday Best,Surfaces,bedroom soul,2019,2020‑07‑17,112,53,88,-7,7,69,159,18,6,92
Don't Start Now,Dua Lipa,dance pop,2019,2020‑07‑17,124,79,79,-5,10,68,183,1,8,91
Be Kind (with Halsey),Marshmello,brostep,2020,2020‑07‑17,94,63,63,-7,5,45,173,1,5,91
In Your Eyes,The Weeknd,canadian contemporary r&b,2020,2020‑07‑17,100,72,67,-5,7,72,238,0,3,91
Kings & Queens,Ava Max,dance pop,2020,2020‑07‑17,130,69,64,-4,13,43,162,1,4,90
MAMACITA,Black Eyed Peas,dance pop,2020,2020‑07‑17,105,64,89,-7,8,43,249,19,5,90
Memories,Maroon 5,pop,2019,2020‑07‑17,91,32,76,-7,8,57,189,84,5,90
Lose Somebody,Kygo,edm,2020,2020‑07‑17,148,59,58,-7,8,51,200,34,4,88
Intentions (feat. Quavo),Justin Bieber,canadian pop,2020,2020‑07‑17,148,55,81,-7,10,87,213,30,6,87
Know Your Worth,Khalid,alternative r&b,2020,2020‑07‑17,103,69,79,-8,28,51,181,14,7,85
What A Man Gotta Do,Jonas Brothers,boy band,2020,2020‑07‑17,113,70,85,-7,8,32,181,1,6,84
Daisies,Katy Perry,dance pop,2020,2020‑07‑17,122,55,64,-5,12,15,173,8,4,84
Higher Love,Kygo,edm,2019,2020‑07‑17,104,68,69,-7,10,40,228,2,3,84
Watermelon Sugar,Harry Styles,pop,2019,2020‑07‑17,95,82,55,-4,34,56,174,12,5,84
Dancing With A Stranger (with Normani),Sam Smith,pop,2019,2020‑07‑17,103,52,74,-8,22,35,171,45,7,84
Lights Up,Harry Styles,pop,2019,2020‑07‑17,102,62,57,-8,14,27,172,4,3,84
Takeaway,The Chainsmokers,dance pop,2019,2020‑07‑17,100,51,53,-8,10,35,210,13,3,83
Together,Sia,australian dance,2020,2020‑07‑17,180,88,52,-5,9,20,205,1,7,82
Call You Mine,The Chainsmokers,dance pop,2019,2020‑07‑17,104,70,59,-6,34,52,218,20,3,82
Magic In The Hamptons (feat. Lil Yachty),Social House,pop,2018,2020‑07‑17,96,48,77,-5,9,80,165,66,4,82
3 Nights,Dominic Fike,alternative pop rock,2018,2020‑07‑17,152,52,82,-7,10,88,178,22,9,82
Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Lennon Stella,canadian pop,2020,2020‑07‑17,116,69,70,-6,17,70,160,26,3,81
Let's Fall in Love for the Night,FINNEAS,electropop,2018,2020‑07‑17,128,41,74,-8,17,37,190,80,10,81
Post Malone (feat. RANI),Sam Feldt,edm,2019,2020‑07‑17,107,64,59,-4,11,65,174,8,12,80
Midnight (feat. Liam Payne),Alesso,big room,2020,2020‑07‑17,144,65,59,-7,12,28,220,6,4,80
Never Seen The Rain,Tones And I,australian pop,2020,2020‑07‑17,92,46,67,-6,28,27,201,43,4,80
Freedom,Kygo,edm,2020,2020‑07‑17,113,64,72,-7,9,39,199,13,8,80
Graveyard,Halsey,dance pop,2020,2020‑07‑17,92,58,67,-5,18,19,182,23,7,80
Black And White,Niall Horan,dance pop,2020,2020‑07‑17,148,58,44,-6,13,24,193,3,5,79
Up All Night,Khalid,alternative r&b,2019,2020‑07‑17,94,71,67,-8,10,67,157,0,5,79
On Me (feat. Ava Max),Thomas Rhett,contemporary country,2020,2020‑07‑17,178,72,55,-4,22,59,165,1,5,78
Lonely (with Jonas Brothers),Diplo,bmore,2020,2020‑07‑17,98,72,74,-5,21,53,140,6,6,78
Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,bmore,2020,2020‑07‑17,99,79,73,-5,10,75,170,3,13,78
Tattoos Together,Lauv,pop,2020,2020‑07‑17,123,40,86,-7,12,60,187,1,7,78
Better Days,OneRepublic,dance pop,2020,2020‑07‑17,89,73,63,-5,30,26,145,24,4,78
Nice To Meet Ya,Niall Horan,dance pop,2019,2020‑07‑17,109,84,59,-4,40,39,159,1,3,77
The Bones - with Hozier,Maren Morris,contemporary country,2019,2020‑07‑17,77,60,56,-6,10,36,197,29,4,77
Be Like That - feat. Swae Lee & Khalid,Kane Brown,contemporary country,2020,2020‑07‑17,87,63,73,-8,13,32,191,5,7,77
Giants,Dermot Kennedy,folk-pop,2020,2020‑07‑17,158,84,58,-5,20,59,177,1,7,77
Learn To Fly,Surfaces,bedroom soul,2020,2020‑07‑17,174,54,57,-6,7,66,210,55,8,77
Smile,Katy Perry,dance pop,2020,2020‑07‑17,98,91,78,-4,34,75,167,2,24,76
Body Back (feat. Maia Wright),Gryffin,dance pop,2019,2020‑07‑17,123,83,69,-4,18,49,215,9,4,76
Nobody,Martin Jensen,big room,2019,2020‑07‑17,97,69,67,-5,18,52,211,27,6,76
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,big room,2019,2020‑07‑17,118,80,55,-4,11,72,187,14,5,75
All You Need To Know (feat. Calle Lehmann),Gryffin,dance pop,2019,2020‑07‑17,140,79,51,-5,11,23,238,1,4,75
Free Spirit,Khalid,alternative r&b,2019,2020‑07‑17,140,45,63,-9,11,11,182,31,3,75
In Your Arms (with X Ambassadors),ILLENIUM,edm,2019,2020‑07‑17,148,81,40,-5,11,11,221,20,5,75
Conversations in the Dark - John Legend vs. David Guetta,John Legend,neo mellow,2020,2020‑07‑17,127,74,57,-5,11,38,210,25,3,74
Treehouse (feat. Shotty Horroh),James Arthur,pop,2019,2020‑07‑17,154,73,69,-5,34,80,220,18,4,74
Take It Easy,Surfaces,bedroom soul,2020,2020‑07‑17,145,69,77,-6,11,50,213,24,5,74
Joy,Bastille,metropopolis,2019,2020‑07‑17,118,92,56,-5,8,36,193,20,16,74
Almost (Sweet Music),Hozier,irish singer-songwriter,2019,2020‑07‑17,90,69,52,-6,20,71,217,2,11,74
I Found You,Andy Grammer,dance pop,2019,2020‑07‑17,138,70,73,-7,18,41,152,9,4,73
Keep It Simple (feat. Wilder Woods),Matoma,dance pop,2019,2020‑07‑17,114,82,63,-6,4,33,192,1,5,72
Wherever You Are,Kodaline,irish pop,2020,2020‑07‑17,126,61,51,-6,9,34,185,14,3,72
Little Bit Of Love - Indian Summer Remix,JP Cooper,neo mellow,2020,2020‑07‑17,101,76,71,-4,42,27,205,1,4,71
Catching Feelings (feat. SIX60),Drax Project,australian pop,2019,2020‑07‑17,176,52,40,-6,16,34,219,61,10,71
Good Example (with Andy Grammer),R3HAB,big room,2020,2020‑07‑17,91,50,46,-7,13,45,149,43,7,71
Unbelievable,Why Don't We,boy band,2019,2020‑07‑17,130,66,53,-7,10,68,189,11,8,69
Castles,Freya Ridings,pop,2019,2020‑07‑17,117,75,67,-5,6,43,212,0,8,69
I Love You's,Hailee Steinfeld,dance pop,2020,2020‑07‑17,107,78,68,-5,21,32,216,3,18,61
