title,artist,topGenre,year,addedSpotify,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
SAD!,XXXTENTACION,emo rap,2018,2020‑07‑17,75,61,74,-5,12,47,167,26,14,86
Fuck Love (feat. Trippie Redd),XXXTENTACION,emo rap,2017,2020‑07‑17,131,53,80,-10,10,33,147,2,4,83
Spotlight,Marshmello,brostep,2018,2020‑07‑17,150,82,55,-4,74,62,178,1,15,75
ill come back to you (feat. Sarcastic Sounds & Rxseboy),Powfu,lo-fi beats,2020,2020‑07‑17,76,48,65,-10,39,37,135,66,29,69
Moon & Stars (feat. Maggie Lindemann),$NOT,dark trap,2020,2020‑07‑17,85,47,71,-9,31,8,188,61,9,67
Perfect,Yung Pinch,emo rap,2019,2020‑07‑17,149,54,68,-9,11,27,220,26,10,67
Memory,Promoting Sounds,emo rap,2020,2020‑07‑17,115,69,75,-8,33,20,135,6,9,66
Stay Away (feat. Machine Gun Kelly & Goody Grace),MOD SUN,indie pop rap,2020,2020‑07‑17,158,64,67,-6,9,15,152,2,8,65
GOSHA,$NOT,dark trap,2018,2020‑07‑17,160,46,82,-10,32,50,120,81,49,65
Save Me,Promoting Sounds,emo rap,2020,2020‑07‑17,170,61,63,-7,29,22,172,3,7,63
With You,Iamjakehill,dark trap,2019,2020‑07‑17,75,56,65,-9,13,28,179,21,10,62
Pretty,Landon Cube,emo rap,2019,2020‑07‑17,76,85,68,-5,13,77,191,20,7,62
Can You Help Me,$NOT,dark trap,2020,2020‑07‑17,180,48,67,-8,14,51,173,54,7,59
I Can't Sleep,POORSTACY,emo rap,2020,2020‑07‑17,135,66,62,-5,12,25,203,1,4,58
Nascar Shawty,Yung Pinch,emo rap,2020,2020‑07‑17,140,65,79,-6,11,96,144,68,13,57
Drugs,Landon Cube,emo rap,2020,2020‑07‑17,130,72,61,-7,11,61,195,12,4,54
Watch Me Wither,Iamjakehill,dark trap,2020,2020‑07‑17,130,60,70,-8,14,40,209,28,3,54
alive,guardin,dark trap,2020,2020‑07‑17,144,89,22,-4,13,11,205,0,6,53
candy,guccihighwaters,emo rap,2020,2020‑07‑17,83,60,64,-6,13,31,157,47,4,53
Start Over,Jutes,emo rap,2020,2020‑07‑17,90,66,61,-6,11,46,173,8,4,52
rope,guccihighwaters,emo rap,2020,2020‑07‑17,138,38,63,-11,9,24,176,88,6,52
Groceries,Landon Cube,emo rap,2020,2020‑07‑17,152,57,75,-7,9,26,177,9,5,51
Let Me Go,Paris Shadows,dark trap,2019,2020‑07‑17,160,77,53,-4,12,39,198,23,5,51
All Along,Iamjakehill,dark trap,2020,2020‑07‑17,154,66,63,-8,15,85,190,30,3,51
Trap Mode,Yung Pinch,emo rap,2020,2020‑07‑17,158,69,67,-6,8,39,150,48,18,50
Empty Room,POORSTACY,emo rap,2020,2020‑07‑17,220,76,39,-7,42,66,125,0,6,50
Lose It,Steven Moses,emo rap,2020,2020‑07‑17,82,62,68,-7,16,42,181,48,15,49
Sideshow,Jutes,emo rap,2020,2020‑07‑17,160,84,65,-6,10,76,140,2,9,49
Unconditional,Roderick Porter,emo rap,2020,2020‑07‑17,154,49,62,-9,4,13,152,28,4,48
Never Get Away,LiL Lotus,emo rap,2019,2020‑07‑17,168,79,60,-7,13,41,217,2,5,47
Drug Queen,Teddy,dark trap,2020,2020‑07‑17,132,64,83,-7,9,59,113,2,4,46
Under The Weather,Lil Xtra,emo rap,2020,2020‑07‑17,89,84,62,-6,8,13,234,3,3,46
I Hate Love,Justin Stone,deep underground hip hop,2019,2020‑07‑17,130,75,70,-8,11,16,238,5,5,44
make up,shinigami,emo rap,2020,2020‑07‑17,113,53,59,-7,23,41,234,37,3,44
Friends,Ollie,emo rap,2020,2020‑07‑17,144,44,69,-8,13,27,150,39,8,43
Just Be Around,Smrtdeath,dark trap,2020,2020‑07‑17,158,69,70,-7,12,38,173,9,14,41
Promises (Green Eyes),dying in designer,emo rap,2019,2020‑07‑17,160,71,64,-6,17,69,148,0,4,41
